gameid,gamedate,home_teamid,away_teamid,home_win,away_win,home_points,away_points,home_opponentscore,away_opponentscore,home_assists,away_assists,home_blocks,away_blocks,home_steals,away_steals,home_fieldgoalsattempted,away_fieldgoalsattempted,home_fieldgoalspercentage,away_fieldgoalspercentage,home_threepointersattempted,away_threepointersattempted,home_threepointerspercentage,away_threepointerspercentage,home_freethrowsattempted,away_freethrowsattempted,home_freethrowspercentage,away_freethrowspercentage,home_reboundstotal,away_reboundstotal,home_foulspersonal,away_foulspersonal,home_turnovers,away_turnovers,home_game_number,away_game_number,home_win_avg_prev5,away_win_avg_prev5,home_points_avg_prev5,away_points_avg_prev5,home_opponent_points_avg_prev5,away_opponent_points_avg_prev5,home_assists_avg_prev5,away_assists_avg_prev5,home_blocks_avg_prev5,away_blocks_avg_prev5,home_steals_avg_prev5,away_steals_avg_prev5,home_fieldgoalsattempted_avg_prev5,away_fieldgoalsattempted_avg_prev5,home_fieldgoalspercentage_avg_prev5,away_fieldgoalspercentage_avg_prev5,home_threepointersattempted_avg_prev5,away_threepointersattempted_avg_prev5,home_threepointerspercentage_avg_prev5,away_threepointerspercentage_avg_prev5,home_freethrowsattempted_avg_prev5,away_freethrowsattempted_avg_prev5,home_freethrowspercentage_avg_prev5,away_freethrowspercentage_avg_prev5,home_reboundstotal_avg_prev5,away_reboundstotal_avg_prev5,home_foulspersonal_avg_prev5,away_foulspersonal_avg_prev5,home_turnovers_avg_prev5,away_turnovers_avg_prev5
22100064,2021-10-27,1610612746,1610612739,false,true,79,92,92,79,19,12,2,3,13,9,87,81,0.356,0.407,41,20,0.22,0.15,13,27,0.615,0.852,36,57,24,14,14,21,6,6,0.4,0.6,106.2,104.8,109.8,108,26.2,26.4,6.2,5,9.4,7.6,92.6,83.2,0.4274,0.4584,35.8,31.6,0.30240000000000006,0.3314,20.4,25.2,0.8028000000000001,0.7068,47.8,46,21,16.8,16.4,18
22100072,2021-10-29,1610612751,1610612754,true,false,105,98,98,105,20,20,6,7,9,9,76,93,0.447,0.398,26,29,0.231,0.276,41,23,0.756,0.696,50,46,21,27,18,14,6,6,0.6,0.2,103.6,113.8,104.6,120.2,22.6,25.4,5.6,7.6,8.8,4.8,87,89.4,0.44400000000000006,0.4806,37.6,38.6,0.33420000000000005,0.35940000000000005,16.8,17.6,0.8310000000000001,0.7796,44.6,47.4,20.2,22.2,15.2,18
22100073,2021-10-29,1610612748,1610612766,true,false,114,99,99,114,23,21,3,6,6,8,91,90,0.473,0.389,35,37,0.257,0.351,19,22,1,0.727,60,37,20,17,18,11,6,6,1,0.8,118.8,114,97.4,103.8,25.2,26,3.8,5.4,8.8,10.8,89.4,88.6,0.4812,0.4922000000000001,35,32.4,0.37920000000000004,0.36060000000000003,24.2,19.4,0.7986,0.7918,47.4,47.2,20.8,18.4,14.4,17.2
22100077,2021-10-29,1610612747,1610612739,true,false,113,101,101,113,24,28,6,1,9,10,84,87,0.548,0.425,27,34,0.444,0.353,10,22,0.9,0.682,42,36,20,13,22,15,7,7,0.2,0.8,106.6,104.2,117.6,97.6,24,24.6,6,4,9,8.2,87.4,82.6,0.43900000000000006,0.46840000000000004,35.8,29,0.4022,0.30079999999999996,22.8,23.6,0.674,0.7344,43,47.2,21.6,16.6,18.8,17.8
22100071,2021-10-29,1610612761,1610612753,true,false,110,109,109,110,18,24,2,5,11,1,86,87,0.5,0.471,30,34,0.3,0.471,22,16,0.682,0.688,40,46,18,24,8,17,7,6,0.4,0.2,102.2,96,100.8,107.2,20.4,20.8,4.4,6.6,12.2,6.4,91,86,0.42140000000000005,0.39740000000000003,34.6,38.4,0.3454,0.31820000000000004,20,20.8,0.696,0.736,46.8,47.4,22.2,22.4,17,16.2
22100092,2021-10-31,1610612751,1610612765,true,false,117,91,91,117,30,21,2,3,7,12,72,79,0.653,0.405,25,33,0.52,0.364,16,22,0.625,0.682,41,29,19,18,20,15,7,6,0.6,0,100.8,96,101.2,112.8,21.2,20.6,5.4,5.6,7.8,7.6,84.8,87,0.43220000000000003,0.4114,35,33,0.3034,0.2664,20.6,21,0.8368,0.7298,47.2,42.2,20,18.4,16,18
22100091,2021-10-31,1610612749,1610612762,false,true,95,107,107,95,16,13,3,10,7,6,96,75,0.406,0.467,41,37,0.293,0.324,6,27,0.833,0.926,44,44,22,10,11,13,6,6,0.4,0.4,112.2,103.4,108.6,104.2,24,19,5.4,4.6,7.8,9.2,94,93,0.45260000000000006,0.40099999999999997,42.4,44.2,0.345,0.31179999999999997,17.2,19.6,0.7242000000000001,0.7706,49.6,50,17.4,21,13.2,16.4
22100095,2021-11-01,1610612754,1610612759,true,false,131,118,118,131,37,34,4,4,11,6,91,89,0.571,0.528,38,28,0.474,0.5,12,14,0.75,0.714,39,36,19,9,16,17,6,6,0.4,0.4,101.6,100.6,104.8,102.8,23,24.2,5.4,4.4,9.8,8.6,89.2,93,0.42400000000000004,0.44020000000000004,37.4,31,0.29300000000000004,0.3124,20,13.8,0.741,0.6544000000000001,44.8,47,18.8,16.2,16.6,16.6
22100094,2021-11-01,1610612766,1610612739,false,true,110,113,113,110,27,21,12,7,12,12,101,90,0.416,0.433,39,28,0.385,0.321,15,38,0.733,0.684,46,49,23,14,17,16,6,9,0.4,0.4,106.8,101,126,102.4,25.2,25,4.4,3.4,7.2,8.2,96.4,86.8,0.4064,0.43920000000000003,35.4,32.2,0.3458,0.2938,23.2,18.8,0.6494,0.7826000000000001,44.2,45,20.4,16.6,13.8,16.4
22100101,2021-11-01,1610612750,1610612753,false,true,97,115,115,97,21,21,1,7,8,5,97,82,0.371,0.451,51,43,0.275,0.395,19,30,0.579,0.8,47,51,20,19,14,16,6,8,0.6,0.2,105.2,101.8,101.8,110.8,23.8,21,8.6,5.4,12.6,5.2,91.2,85.8,0.4166,0.42619999999999997,42,36.4,0.33599999999999997,0.3666,19.8,21.4,0.7628,0.7202000000000001,45.8,46.4,23,22.4,17.4,16.4
22100100,2021-11-01,1610612763,1610612743,true,false,106,97,97,106,20,27,4,8,8,8,97,88,0.454,0.443,34,38,0.382,0.237,7,15,0.714,0.667,55,40,18,10,13,12,6,8,0.6,0.6,107.2,105,102,105.2,24.8,21.8,7.6,4.2,11.4,9,92.2,86.2,0.4406,0.45640000000000003,39.4,39.2,0.3302,0.34479999999999994,14.6,17.8,0.917,0.7154,47.2,42.8,16.4,19.6,14.6,16
22100099,2021-11-01,1610612752,1610612761,false,true,104,113,113,104,20,24,4,4,3,12,76,99,0.461,0.434,38,42,0.421,0.333,24,14,0.75,0.929,41,48,13,20,17,9,7,6,0.8,0.6,115.4,109.8,111.2,104.6,24.6,22.4,6.4,4.4,7.8,11,97,95,0.438,0.4288,41,37,0.36639999999999995,0.34080000000000005,20.4,19.8,0.7944000000000001,0.7974,49.4,48.4,21.2,17.4,13.8,15.2
22100104,2021-11-02,1610612742,1610612748,false,true,110,125,125,110,17,25,3,5,1,6,84,83,0.44,0.518,42,25,0.333,0.52,31,30,0.71,0.867,41,45,21,25,10,7,6,7,1,0.6,111.6,105.4,103.8,106,25.4,22.6,6.2,2.8,7.8,6.8,91.8,92,0.46180000000000004,0.4292000000000001,37.6,34,0.3164,0.35840000000000005,22.8,17.4,0.6144,0.8089999999999999,50.8,54.2,20.6,20,13.2,18.2
22100106,2021-11-02,1610612756,1610612740,true,false,112,100,100,112,32,21,4,6,8,17,82,91,0.524,0.396,26,39,0.346,0.333,18,16,0.944,0.938,42,43,17,16,19,18,6,7,0.6,0.2,108.4,97.8,98.2,114,26.8,19.8,3.4,4.2,10.2,7.4,90.8,88.6,0.45380000000000004,0.4098,30.8,33.4,0.3330000000000001,0.325,20.4,19.2,0.7716,0.7756000000000001,52,48.6,16.4,18.6,14.8,21.4
22100107,2021-11-02,1610612747,1610612745,true,false,119,117,117,119,26,27,4,4,10,8,93,91,0.527,0.527,25,42,0.24,0.381,20,12,0.75,0.417,43,38,19,21,17,25,9,6,0.6,0,109.6,97.4,108,113.6,24.2,20.2,6.8,4.4,9.6,8.2,89,85,0.4718,0.4142,32.8,32.6,0.413,0.28779999999999994,18.6,27.6,0.6859999999999999,0.6454,42.4,50,21,19.6,17.4,22.4
22100114,2021-11-03,1610612763,1610612743,true,false,108,106,106,108,28,24,7,4,9,7,81,91,0.519,0.473,34,27,0.471,0.296,14,13,0.571,0.923,36,44,16,16,12,12,7,9,0.6,0.6,111,104.6,106,104.8,24.4,22.6,6.4,5.4,11.2,9,96.6,85.8,0.43800000000000006,0.465,40.4,38,0.34459999999999996,0.34219999999999995,14,16.6,0.8998000000000002,0.6964,49.8,42.4,17.4,17.6,13.8,15.4
22100113,2021-11-03,1610612751,1610612737,true,false,117,108,108,117,34,23,8,4,7,8,88,94,0.489,0.436,48,35,0.458,0.371,12,15,0.75,0.867,42,52,18,16,16,14,8,7,0.6,0.4,102.8,98.6,99.2,106.2,22.4,22.6,5.4,3,7.8,5.6,82.8,92.6,0.4702,0.4226,32.8,27.4,0.324,0.32219999999999993,20,16.2,0.7934000000000001,0.7234,46.2,50.6,20.4,16.8,16,13.8
22100117,2021-11-03,1610612744,1610612766,true,false,114,92,92,114,33,18,4,2,14,10,86,91,0.488,0.374,45,36,0.4,0.278,18,19,0.667,0.737,53,49,17,14,17,16,7,7,0.8,0.6,111.8,111.2,102,107.2,29.4,25.2,5.8,4.6,10.6,10.2,92.6,88.8,0.45500000000000007,0.47119999999999995,45.4,33.2,0.38560000000000005,0.3762,15.6,19,0.666,0.8038000000000001,51.2,43.8,20.2,17,19.4,15
22100112,2021-11-03,1610612764,1610612761,false,true,100,109,109,100,19,17,7,3,6,10,78,88,0.436,0.466,32,25,0.25,0.4,30,20,0.8,0.85,44,42,15,23,13,12,6,7,0.6,0.8,115.8,109.8,117.4,100.4,22.6,23,6.2,4.2,7,11,94.8,97.4,0.433,0.41899999999999993,36.4,38,0.34320000000000006,0.348,25.8,18.4,0.8202,0.8118000000000001,49.2,51.4,19,17.6,11.6,13
22100116,2021-11-03,1610612759,1610612742,false,true,108,109,109,108,25,21,10,4,10,10,88,93,0.489,0.43,21,34,0.333,0.235,20,29,0.75,0.724,40,56,24,23,15,19,7,6,0.4,0.6,117.2,101.2,110,95.2,30.4,22.6,4.8,5,8.6,8.4,97.8,90.4,0.47059999999999996,0.40119999999999995,36,41.4,0.3536,0.3202,18.8,18.4,0.6906000000000001,0.806,46.4,50,21,19.8,12.2,12.6
22100120,2021-11-04,1610612737,1610612762,false,true,98,116,116,98,18,30,4,4,11,6,82,81,0.427,0.506,28,41,0.25,0.415,26,23,0.808,0.739,32,46,24,20,9,17,6,7,0.8,0.6,115.2,107.8,98.6,101,27.8,18.8,6,5.6,9.8,8.2,91.8,87.2,0.46580000000000005,0.43099999999999994,34.8,43,0.40119999999999995,0.32999999999999996,17.8,22,0.8560000000000001,0.8358000000000001,49.4,49.4,19,18.6,14,17
22100121,2021-11-04,1610612748,1610612738,false,true,78,95,95,78,18,16,0,4,8,7,81,78,0.346,0.397,41,41,0.22,0.39,19,20,0.684,0.85,45,46,19,16,18,16,7,8,1,0.6,116.6,117,97.4,111.6,24.2,27.2,2.8,8.6,7.8,9.2,91.2,98,0.471,0.43520000000000003,33.8,43.4,0.3282,0.28280000000000005,23.2,23.6,0.8486,0.7798,50.6,51.2,20.4,24.2,14.4,13
